time,open,high,low,close
2023-01-01 00:00:00,1.1,1.10194,1.0995,1.10144
2023-01-01 00:15:00,1.10144,1.10289,1.10061,1.10206
2023-01-01 00:30:00,1.10206,1.10318,1.10027,1.10139
2023-01-01 00:45:00,1.10139,1.10196,1.10099,1.10156
2023-01-01 01:00:00,1.10156,1.10304,1.10058,1.10206
2023-01-01 01:15:00,1.10206,1.10259,1.10152,1.10205
2023-01-01 01:30:00,1.10205,1.10392,1.10076,1.10262
2023-01-01 01:45:00,1.10262,1.10324,1.10208,1.1027
2023-01-01 02:00:00,1.1027,1.10376,1.1022,1.10326
2023-01-01 02:15:00,1.10326,1.10499,1.10259,1.10433
2023-01-01 02:30:00,1.10433,1.1051,1.10323,1.104
2023-01-01 02:45:00,1.104,1.10477,1.10348,1.10426
2023-01-01 03:00:00,1.10426,1.10509,1.10324,1.10407
2023-01-01 03:15:00,1.10407,1.10459,1.10375,1.10427
2023-01-01 03:30:00,1.10427,1.10466,1.10322,1.1036
2023-01-01 03:45:00,1.1036,1.10454,1.10241,1.10334
2023-01-01 04:00:00,1.10334,1.10416,1.1025,1.10333
2023-01-01 04:15:00,1.10333,1.10449,1.10288,1.10404
2023-01-01 04:30:00,1.10404,1.10541,1.10355,1.10492
2023-01-01 04:45:00,1.10492,1.10533,1.10375,1.10416
2023-01-01 05:00:00,1.10416,1.10458,1.10334,1.10376
2023-01-01 05:15:00,1.10376,1.10558,1.10248,1.1043
2023-01-01 05:30:00,1.1043,1.10605,1.10136,1.1031
2023-01-01 05:45:00,1.1031,1.10346,1.10256,1.10292
2023-01-01 06:00:00,1.10292,1.10351,1.10238,1.10297
2023-01-01 06:15:00,1.10297,1.10495,1.10195,1.10392
2023-01-01 06:30:00,1.10392,1.10541,1.10301,1.1045
2023-01-01 06:45:00,1.1045,1.10505,1.10385,1.1044
2023-01-01 07:00:00,1.1044,1.10526,1.10341,1.10428
2023-01-01 07:15:00,1.10428,1.1048,1.10371,1.10423
2023-01-01 07:30:00,1.10423,1.10676,1.10283,1.10536
2023-01-01 07:45:00,1.10536,1.10583,1.10473,1.10519
2023-01-01 08:00:00,1.10519,1.10617,1.10414,1.10511
2023-01-01 08:15:00,1.10511,1.1062,1.10438,1.10547
2023-01-01 08:30:00,1.10547,1.10627,1.1047,1.10551
2023-01-01 08:45:00,1.10551,1.10692,1.10408,1.10549
2023-01-01 09:00:00,1.10549,1.10593,1.10444,1.10487
2023-01-01 09:15:00,1.10487,1.10572,1.10414,1.10499
2023-01-01 09:30:00,1.10499,1.10554,1.10425,1.10481
2023-01-01 09:45:00,1.10481,1.10661,1.1039,1.1057
2023-01-01 10:00:00,1.1057,1.10684,1.10512,1.10626
2023-01-01 10:15:00,1.10626,1.1076,1.10502,1.10636
2023-01-01 10:30:00,1.10636,1.10731,1.10598,1.10692
2023-01-01 10:45:00,1.10692,1.10782,1.10592,1.10682
2023-01-01 11:00:00,1.10682,1.10846,1.106,1.10764
2023-01-01 11:15:00,1.10764,1.10828,1.1071,1.10775
2023-01-01 11:30:00,1.10775,1.10999,1.10602,1.10826
2023-01-01 11:45:00,1.10826,1.10936,1.10642,1.10752
2023-01-01 12:00:00,1.10752,1.10896,1.10644,1.10787
2023-01-01 12:15:00,1.10787,1.10892,1.10582,1.10687
2023-01-01 12:30:00,1.10687,1.10825,1.10426,1.10564
2023-01-01 12:45:00,1.10564,1.10675,1.10444,1.10556
2023-01-01 13:00:00,1.10556,1.10639,1.10424,1.10508
2023-01-01 13:15:00,1.10508,1.10623,1.10415,1.10531
2023-01-01 13:30:00,1.10531,1.10743,1.10479,1.10692
2023-01-01 13:45:00,1.10692,1.10727,1.10613,1.10648
2023-01-01 14:00:00,1.10648,1.10725,1.10542,1.10619
